Date,Temple,Day_Of_Week,Month,Year,Is_Weekend,Is_Holiday,Festival,Temperature,Rainfall,Footfall
2015-01-01,Somnath,3,1,2015,0,0,None,21.7,0.0,26159
2015-01-01,Dwarka,3,1,2015,0,0,None,24.0,0.0,20486
2015-01-01,Ambaji,3,1,2015,0,0,None,18.6,0.0,35707
2015-01-01,Pavagadh,3,1,2015,0,0,None,25.1,0.0,21879
2015-01-02,Somnath,4,1,2015,0,0,None,26.3,0.0,23409
2015-01-02,Dwarka,4,1,2015,0,0,None,19.8,0.0,22108
2015-01-02,Ambaji,4,1,2015,0,0,None,22.3,0.0,35782
2015-01-02,Pavagadh,4,1,2015,0,0,None,19.4,0.0,19465
2015-01-03,Somnath,5,1,2015,1,0,None,22.6,0.0,33593
2015-01-03,Dwarka,5,1,2015,1,0,None,23.9,0.0,29212
2015-01-03,Ambaji,5,1,2015,1,0,None,18.7,0.0,55482
2015-01-03,Pavagadh,5,1,2015,1,0,None,21.0,0.0,28392
2015-01-04,Somnath,6,1,2015,1,0,None,19.2,0.0,35346
2015-01-04,Dwarka,6,1,2015,1,0,None,20.6,0.0,30091
2015-01-04,Ambaji,6,1,2015,1,0,None,23.5,0.0,55164
2015-01-04,Pavagadh,6,1,2015,1,0,None,27.4,0.0,30787
2015-01-05,Somnath,0,1,2015,0,0,None,18.9,0.0,22726
2015-01-05,Dwarka,0,1,2015,0,0,None,21.3,0.0,20993
2015-01-05,Ambaji,0,1,2015,0,0,None,26.3,0.0,33466
2015-01-05,Pavagadh,0,1,2015,0,0,None,23.4,0.0,21208
2015-01-06,Somnath,1,1,2015,0,0,None,18.7,2.0,26361
2015-01-06,Dwarka,1,1,2015,0,0,None,20.0,0.0,23388
2015-01-06,Ambaji,1,1,2015,0,0,None,25.1,0.0,36898
2015-01-06,Pavagadh,1,1,2015,0,0,None,18.7,0.0,18463
2015-01-07,Somnath,2,1,2015,0,0,None,26.6,0.0,24154
2015-01-07,Dwarka,2,1,2015,0,0,None,18.6,0.0,21230
2015-01-07,Ambaji,2,1,2015,0,0,None,25.3,0.0,37710
2015-01-07,Pavagadh,2,1,2015,0,0,None,22.7,0.0,20852
2015-01-08,Somnath,3,1,2015,0,0,None,25.6,0.0,26354
2015-01-08,Dwarka,3,1,2015,0,0,None,22.9,0.0,21681
2015-01-08,Ambaji,3,1,2015,0,0,None,18.3,0.0,31720
2015-01-08,Pavagadh,3,1,2015,0,0,None,24.4,0.0,20034
2015-01-09,Somnath,4,1,2015,0,0,None,27.1,0.0,24551
2015-01-09,Dwarka,4,1,2015,0,0,None,25.6,0.0,20138
2015-01-09,Ambaji,4,1,2015,0,0,None,20.9,0.0,38007
2015-01-09,Pavagadh,4,1,2015,0,0,None,26.1,0.0,21485
2015-01-10,Somnath,5,1,2015,1,0,None,26.0,0.0,37253
2015-01-10,Dwarka,5,1,2015,1,0,None,26.1,0.0,27659
2015-01-10,Ambaji,5,1,2015,1,0,None,20.3,0.0,54921
2015-01-10,Pavagadh,5,1,2015,1,0,None,18.1,0.0,26131
2015-01-11,Somnath,6,1,2015,1,0,None,19.2,0.0,35898
2015-01-11,Dwarka,6,1,2015,1,0,None,23.2,0.0,33049
2015-01-11,Ambaji,6,1,2015,1,0,None,27.6,0.0,47030
2015-01-11,Pavagadh,6,1,2015,1,0,None,20.8,0.0,28453
2015-01-12,Somnath,0,1,2015,0,0,None,18.5,0.0,27041
2015-01-12,Dwarka,0,1,2015,0,0,None,20.4,0.0,21953
2015-01-12,Ambaji,0,1,2015,0,0,None,27.9,0.0,36204
2015-01-12,Pavagadh,0,1,2015,0,0,None,25.6,0.0,20912
2015-01-13,Somnath,1,1,2015,0,0,None,21.7,0.0,25667
2015-01-13,Dwarka,1,1,2015,0,0,None,23.4,0.0,23475
2015-01-13,Ambaji,1,1,2015,0,0,None,21.2,0.0,31785
2015-01-13,Pavagadh,1,1,2015,0,0,None,23.9,0.0,18066
2015-01-14,Somnath,2,1,2015,0,0,None,23.1,0.0,25725
2015-01-14,Dwarka,2,1,2015,0,0,None,19.7,0.0,21501
2015-01-14,Ambaji,2,1,2015,0,0,None,27.4,0.0,33887
2015-01-14,Pavagadh,2,1,2015,0,0,None,19.1,0.0,21509
